frame,time_s,animal,action,speed_px,body_length_px,speed_norm_body
53,1.7666666666666666,animal1,run,231.90994650596858,191.5851989592548,1.2104794512612105
53,1.7666666666666666,animal0,walk,9.076033050653582,268.1129135626433,0.03385153266231247
54,1.8,animal0,walk,6.897112181491228,267.33680573271505,0.02579933639360905
55,1.8333333333333333,animal0,walk,6.516677342965598,267.2065368976639,0.024388165868342464
56,1.8666666666666667,animal0,stand,3.8942460924189164,267.0892949461179,0.014580315145931007
57,1.9,animal0,stand,4.308326392972967,267.2426496889481,0.016121402770057698
58,1.9333333333333333,animal1,run,241.31371164939432,181.581233220491,1.3289573342437389
58,1.9333333333333333,animal0,walk,6.488713834227987,268.40273406653375,0.024175289632554615
59,1.9666666666666666,animal1,run,230.22610938921488,173.55130576752438,1.3265593616311224
59,1.9666666666666666,animal0,walk,7.9682302250452866,268.92119093141,0.029630354519282313
